Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Состав ";"Материал подкладки";"Страна производства ";"Доступные размеры";"Параметры модели";"Рост модели на фото ";Длина;"Длина рукава";Сезон;Цвет;Узор;Застежка;"Детали одежды";Технологии;"Вид спорта";Высота;"Длина по внутреннему шву";"Длина по боковому шву";"Обхват по талии";"Обхват по бедрам";"Ширина по низу";Посадка;Талия
"Детям/Мальчикам/Футболки и поло, Детям/Мальчикам/Рубашки, Детям/Мальчикам/Шорты";"Поло Tommy Hilfiger  ";174.00;boy-red-polo-tommy-hilfiger;1;1;"Tommy Hilfiger";;205.00;;0;"Поло Tommy Hilfiger  ";"Поло Tommy Hilfiger  , Tommy Hilfiger, Футболки и поло";"краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание";"<p>краткое описание&nbsp;<span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span></p>";"<p>полное описание&nbsp;<span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span></p>";TO263EBSVR36_4715730_1_v3.jpg;"Хлопок - 96%. Эластан - 4%";;Индия;S;;;"51 см";"16 см";мульти;мультиколор;"полоска. рисунки и надписи";"на пуговицах";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Поло Tommy Hilfiger ";104.00;boy-polo-tommy-hilfiger-red;1;0;"Tommy Hilfiger";;;;;"Поло Tommy Hilfiger ";"Поло Tommy Hilfiger , Tommy Hilfiger, Футболки и поло";;;;TO263EBSVR29_4715723_1_v3.jpg;"Хлопок - 96%. Эластан - 4%";;Индия;M;;;"51 см";"17 см";мульти;белый;"геометрия. рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Поло Tommy Hilfiger";159.00;polo-tommy-hilfiger-boy;1;0;"Tommy Hilfiger";;;;;"Поло Tommy Hilfiger";"Поло Tommy Hilfiger, Tommy Hilfiger, Футболки и поло";;;;TO263EBQTV34_4344273_1_v1.jpg;"Хлопок - 96%. Эластан - 4%";;Тунис;XS;;;"55 см";"14 см";мульти;желтый;однотонный;"на пуговицах";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Sela  ";17.00;futbolka-sela-boy-bej;1;;SELA;;;;;"Футболка Sela  ";"Футболка Sela  , SELA, Футболки и поло";;;;SE001EBQNZ39_4600112_1_v1.jpg;"Хлопок - 100%";;Бангладеш;S;;;"48 см";"15 см";мульти;бежевый;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Sela ";18.00;futbolka-sela-boy-boy-blue;1;;SELA;;;;;"Футболка Sela ";"Футболка Sela , SELA, Футболки и поло";;;;SE001EBQNZ34_4600109_1_v1.jpg;"Хлопок - 100%";;Бангладеш;M;;;"44 см";"10 см";мульти;голубой;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Sela";32.00;futbolka-sela-boy;1;;SELA;;;;;"Футболка Sela";"Футболка Sela, SELA, Футболки и поло";;;;SE001EBQNZ59_4549987_1_v1.jpg;"Хлопок - 100%";;Вьетнам;XS;;;"49 см";"10 см";мульти;голубой;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Поло Sela";32.00;polo-sela-boy;1;;SELA;;;;;"Поло Sela";"Поло Sela, SELA, Футболки и поло";;;;SE001EBQNZ87_4496258_1_v2.jpg;"Хлопок - 100%";;Вьетнам;S;;;"52 см";"14 см";мульти;мультиколор;полоска;"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка B NSW TEE SS AIRMAX AOP Nike";84.00;futbolka-b-nsw-tee-ss-airmax-aop-nike;1;;Nike;;;;;"Футболка B NSW TEE SS AIRMAX AOP Nike";"Футболка Nike  , Футболки и поло";;;;NI464EBPDF40_4600092_1_v1.jpg;"Хлопок - 100%";;Вьетнам;M;;;"66 см";"24 см";мульти;красный;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Nike  ";42.00;futbolka-nike-boy-bordo;1;;Nike;;;;;"Футболка Nike  ";"Футболка Nike  , Футболки и поло";;;;NI464EBSKO69_4664951_1_v3.jpg;"Хлопок - 100%";;Вьетнам;XS;;;"38 см";"11 см";мульти;бордовый;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка спортивная B NK DRY TEE SS LIFTOFF Nike";70.00;futbolka-sportivnaya-b-nk-dry-tee-ss-liftoff-nike;1;;Nike;;;;;"Футболка спортивная B NK DRY TEE SS LIFTOFF Nike";"Футболка Nike , Футболки и поло";;;;NI464EBPDB23_4215190_1_v1.jpg;"Хлопок - 58%. Полиэстер - 42%";;Китай;S;;;"61 см";"25 см";мульти;черный;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Nike ";42.00;futbolka-nike-boy;1;;Nike;;;;;"Футболка Nike ";"Футболка Nike , Футболки и поло";;;;NI464EBSKO87_4668294_1_v2.jpg;"Хлопок - 100%";;Вьетнам;M;;;"44 см";"13 см";мульти;белый;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Nike";42.00;futbolka-nike-kids-boy;1;;Nike;;;;;"Футболка Nike";"Футболка Nike, Футболки и поло";;;;"NI464EBSKO80_4676351_1_v2.jpg, NI464EBSKO80_4681385_2_v1.jpg";"Хлопок - 100%";;Вьетнам;XS;;;"44 см";"13 см";мульти;синий;"рисунки и надписи";"без застежки";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка Tommy Hilfiger";50.00;rubashka-tommy-hilfiger-kids;1;;"Tommy Hilfiger";;;;;"Рубашка Tommy Hilfiger";"Рубашка Tommy Hilfiger, Tommy Hilfiger, Рубашки";;;;TO263EBSVR32_4715726_1_v3.jpg;"Хлопок - 100%";;Индия;S;;;"52 см";"46 см";мульти;красный;клетка;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка - BART Mango Kids";50.00;rubashka---bart-mango-kids;1;;Mango;;;;;"Рубашка - BART Mango Kids";"Рубашка - BART Mango Kids, Mango, Рубашки";;;;MA018EBSLD40_4740740_1_v1.jpg;"Хлопок - 100%";;Индия;M;;;"55 см";"14 см";мульти;розовый;однотонный;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка - PAINT Mango Kids";50.00;rubashka---paint-mango-kids;1;;Mango;;;;;"Рубашка - PAINT Mango Kids";"Рубашка - PAINT Mango Kids, Mango, Рубашки";;;;MA018EBROC54_4530144_1_v1.jpg;"Хлопок - 100%";;Индия;XS;;;"55 см";"14 см";лето;бежевый;"рисунки и надписи";"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка джинсовая - DAVE Mango Kids";50.00;rubashka-dzhinsovaya---dave-mango-kids;1;;Mango;;;;;"Рубашка джинсовая - DAVE Mango Kids";"Рубашка джинсовая - DAVE Mango Kids, Mango, Рубашки";;;;MA018EBREA37_4497170_1_v1.jpg;"Хлопок - 100%";;Бангладеш;M;;;"55 см";"14 см";мульти;синий;однотонный;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка - DARIO Mango Kids";50.00;rubashka---dario-mango-kids;1;1;Mango;;;;;"Рубашка - DARIO Mango Kids";"Рубашка - DARIO Mango Kids, Mango, Рубашки";;;;MA018EBQLV91_4322820_1_v1.jpg;"Хлопок - 100%";;Бангладеш;XS;;;"55 см";"14 см";мульти;синий;однотонный;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка - STRIPES2 Mango Kids";50.00;rubashka---stripes2-mango-kids;1;;Mango;;;;;"Рубашка - STRIPES2 Mango Kids";"Рубашка - STRIPES2 Mango Kids, Mango, Рубашки";;;;MA018EBPEG77_4338624_1_v2.jpg;"Хлопок - 100%";;Индия;S;;;"55 см";"14 см";мульти;голубой;полоска;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка - STRIPES1 Mango Kids";49.99;rubashka---stripes1-mango-kids;1;;Mango;;;;;"Рубашка - STRIPES1 Mango Kids";"Рубашка - STRIPES1 Mango Kids, Mango, Рубашки";;;;MA018EBPDV03_4265978_1_v1.jpg;"Хлопок - 100%";;Бангладеш;S;;;"42 см";"12 см";лето;белый;полоска;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка - PLANE8 Mango Kids";49.99;rubashka---plane8-mango-kids;1;;Mango;;;;;"Рубашка - PLANE8 Mango Kids";"Рубашка - PLANE8 Mango Kids, Mango, Рубашки";;;;MA018EBPQM99_4243077_1_v1.jpg;"Хлопок - 100%";;Бангладеш;S;;;"55 см";"14 см";мульти;голубой;горох;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка Sela  ";32.70;rubashka-sela-kletka-kids;1;;SELA;;40.99;;;"Рубашка Sela  ";"Рубашка Sela  , SELA, Рубашки";;;;SE001EBPOP27_4217373_1_v1.jpg;"Хлопок - 100%";;Китай;S;;;"48 см";"44 см";мульти;голубой;клетка;"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка Sela ";32.70;rubashka-sela-kletka;1;;SELA;;40.99;;;"Рубашка Sela ";"Рубашка Sela , SELA, Рубашки";;;;SE001EBQNX58_4623426_1_v2.jpg;"Хлопок - 100%";;Китай;XS;;;"55 см";"14 см";лето;голубой;"рисунки и надписи";"на пуговицах";;;;;;;;;;;
Детям/Мальчикам/Рубашки;"Рубашка Sela";27.90;rubashka-sela-kids;1;;SELA;;34.99;;;"Рубашка Sela";"Рубашка Sela, SELA, Рубашки";;;;SE001EBOTD97_4255957_1_v1.jpg;"Хлопок - 100%";;Китай;XS;;;"48 см";"47 см";мульти;мультиколор;клетка;"на пуговицах";;;;;;;;;;;
Детям/Девочкам/Шорты;"Шорты - DOTS Mango Kids";39.00;shorty---dots-mango-kids;1;;Mango;;;;;"Шорты - DOTS Mango Kids";"Джинсы Sela, SELA, Джинсы ";;;;MA018EGSXQ75_4796836_1_v1.jpg;"Хлопок - 65%. Полиэстер - 33%. Эластан - 2%";;Китай;S;;;;;мульти;розовый;горох;"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы - RONY Mango Kids";194.00;dzhinsy---rony-mango-kids;1;;Mango;;;;;"Джинсы - RONY Mango Kids";"Джинсы - RONY Mango Kids, Mango, Джинсы ";;;;MA018EBPEU48_4264184_1_v1.jpg;"Хлопок - 92%. Полиэстер - 7%. Эластан - 1%";;Македония;XS;;;;;мульти;белый;однотонный;"на молнии";;;;;"57 см";"77 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы Tommy Hilfiger";194.00;boy-b-dzhinsy-tommy-hilfiger;1;;"Tommy Hilfiger";;;;;"Джинсы Tommy Hilfiger";"Джинсы Tommy Hilfiger, Tommy Hilfiger, Джинсы ";;;;TO263EBSVR33_4715727_1_v3.jpg;"Хлопок - 92%. Полиэстер - 7%. Эластан - 1%";;Македония;S;;;;;мульти;синий;геометрия;"без застежки";;;;;"57 см";"77 см";;;;;
"Детям/Девочкам/Джинсы ";"Джинсы Sela";48.00;dzhinsy-sela-kids-j;1;;SELA;;;;;"Джинсы Sela";"Джинсы Sela, SELA, Джинсы ";;;;"SE001EGKIT26_4075857_1_v1.jpg, SE001EGKIT26_4075858_2_v1.jpg";"Хлопок - 65%. Полиэстер - 33%. Эластан - 2%";;Китай;M;;;;;мульти;синий;геометрия;"без застежки";;;;;"48 см";"67 см";;;;;
Детям/Девочкам/Шорты;"Шорты - NINA Mango Kids";59.00;shorty-nina-mango-kids;1;;Mango;;;;;"Шорты - NINA Mango Kids";"Джинсы Pepe Jeans  , Patrizia Pepe, Джинсы ";;;;MA018EGRAA57_4452050_1_v1.jpg;"Хлопок - 98%. Эластан - 2%";;Тунис;S;;;;;мульти;бежевый;цветочный;"на молнии";;;;;"60 см";"80 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы - VANILLA Mango Kids";59.00;dzhinsy---vanilla-mango-kids;1;;Mango;;;;;"Джинсы - VANILLA Mango Kids";"Джинсы - VANILLA Mango Kids, Mango, Джинсы ";;;;MA018EBPON21_4265992_1_v1.jpg;"Хлопок - 100%";;Пакистан;M;;;;;"демисезон. лето";голубой;однотонный;"на молнии";винтаж;;;;"39 см";"59 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы - DYLAN Mango Kids";184.00;dzhinsy---dylan-mango-kids;1;;Mango;;;;;"Джинсы - DYLAN Mango Kids";"Джинсы - DYLAN Mango Kids, Mango, Джинсы ";;;;MA018EBQLY58_4433574_1_v1.jpg;"Хлопок - 98%. Эластан - 2%";;Пакистан;XS;;;;;мульти;коралловый;однотонный;"на молнии";винтаж;;;;"60 см";"80 см";;;;;
"Детям/Девочкам/Джинсы ";"Джинсы Pepe Jeans  ";184.00;dzhinsy-pepe-jeans-gray;1;;"Patrizia Pepe ";;;;;"Джинсы Pepe Jeans  ";"Джинсы Pepe Jeans  , Patrizia Pepe, Джинсы ";;;;"PE299EGPVM54_4321540_1_v2.jpg, PE299EGPVM54_4327080_2_v1.jpg";"Хлопок - 98%. Эластан - 2%";;Тунис;S;;;;;мульти;серый;однотонный;"на молнии";;;;;"60 см";"80 см";;;;;
Детям/Мальчикам/Шорты;"Шорты - HAPPY Mango Kids";39.00;shorty---happy-mango-kids;1;;Mango;;;;;"Шорты - HAPPY Mango Kids";"Джинсы Pepe Jeans , Patrizia Pepe, Джинсы ";;;;MA018EBROC63_4530152_1_v1.jpg;"Хлопок - 86%. Полиэстер - 14%";;Пакистан;S;;;;;мульти;синий;полоска;"без застежки";;;;;"58 см";"80 см";;;;;
Детям/Девочкам/Шорты;"Шорты Nike";52.00;shorty-nike-kids;1;;Nike;;;;;"Шорты Nike";"Джинсы Pepe Jeans , Patrizia Pepe, Джинсы ";;;;NI464EGSKO51_4676357_1_v2.jpg;"Хлопок - 87%. Вискоза - 11%. Эластан - 2%";;Тунис;S;;;;;мульти;розовый;однотонный;"без застежки";;;;;"58 см";"80 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы - JOE Mango Kids";79.00;dzhinsy---joe-mango-kids;1;;Mango;;;;;"Джинсы - JOE Mango Kids";"Джинсы - JOE Mango Kids, Mango, Джинсы ";;;;MA018EBRIJ07_4497224_1_v1.jpg;"Хлопок - 98%. Эластан - 2%";;Пакистан;M;;;;;мульти;синий;однотонный;"на молнии";;;;;;;;;;;
"Детям/Девочкам/Джинсы ";"Джинсы Pepe Jeans ";184.00;dzhinsy-pepe-jeans-kids;1;;"Patrizia Pepe ";;;;;"Джинсы Pepe Jeans ";"Джинсы Pepe Jeans , Patrizia Pepe, Джинсы ";;;;"PE299EGPVM52_4321538_1_v2.jpg, PE299EGPVM52_4327076_2_v1.jpg";"Хлопок - 87%. Вискоза - 11%. Эластан - 2%";;Тунис;M;;;;;мульти;синий;однотонный;"на молнии";;;;;"58 см";"80 см";;;;;
Детям/Мальчикам/Шорты;"Шорты - JOSE Mango Kids";56.99;shorty---jose-mango-kids;1;;Mango;;;;;"Шорты - JOSE Mango Kids";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;MA018EBPXJ32_4283133_1_v2.jpg;"Хлопок - 99%. Эластан - 1%";;Бангладеш;XS;;;;;лето;синий;однотонный;"на молнии";;;;;;;;;;;
Детям/Девочкам/Шорты;"Шорты - PATRI Mango Kids";49.00;shorty---patri-mango-kids;1;;Mango;;;;;"Шорты - PATRI Mango Kids";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;MA018EGSNV64_4710374_1_v1.jpg;"Хлопок - 100%";;Тунис;S;;;;;мульти;розовый;однотонный;"на молнии";;;;;;;;;;;
Детям/Мальчикам/Шорты;"Шорты джинсовые Tommy Hilfiger";24.00;shorty-dzhinsovye-tommy-hilfiger;1;;"Tommy Hilfiger";;;;;"Шорты джинсовые Tommy Hilfiger";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;TO263EBSVR35_4715729_1_v3.jpg;"Хлопок - 100%";;Македония;S;;;;;лето;голубой;"рисунки и надписи";"на молнии";;;;;"18 см";"37 см";;;;;
Детям/Девочкам/Шорты;"Шорты - MADEIRA Mango Kids ";24.00;shortymadeira-mango-kids-;1;;Mango;;;;;"Шорты - MADEIRA Mango Kids ";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;MA018EGRTP52_4587739_1_v1.jpg;"Хлопок - 100%";;Тунис;S;;;;;мульти;мультиколор;цветочный;"без застежки";;;;;;;;;;;
Детям/Мальчикам/Шорты;"Шорты спортивные - FOLLOW Mango Kids";39.99;shorty-sportivnye---follow-mango-kids;1;;Mango;;;;;"Шорты спортивные - FOLLOW Mango Kids";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;MA018EBRUG57_4587717_1_v1.jpg;"Хлопок - 80%. Полиэстер - 20%";;Пакистан;XS;;;;;лето;синий;полоска;"без застежки";;;;;;;;;;;
Детям/Девочкам/Шорты;"Шорты - MADEIRA Mango Kids";24.00;shorty-madeira-mango-kids;1;;Mango;;;;;"Шорты - MADEIRA Mango Kids";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;MA018EGRTP65_4587741_1_v1.jpg;"Хлопок - 100%";;Тунис;S;;;;;мульти;зеленый;"рисунки и надписи";"без застежки";;;;;;;;;;;
Детям/Мальчикам/Шорты;"Шорты Sela ";22.00;shorty-boy-gray-sela;1;;SELA;;;;;"Шорты Sela";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;SE001EBQNX95_4595043_1_v2.jpg;"Хлопок - 90%. Вискоза - 10%";;Бангладеш;S;;;;;мульти;серый;однотонный;"без застежки";;;;;"20  см";"44 см";;;;;
Детям/Девочкам/Шорты;"Шорты - MADEIRA Mango Kids";24.00;shorty---madeira-mango-kids;1;;Mango;;;;;"Шорты - MADEIRA Mango Kids";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;"MA018EGRTQ10_4587749_1_v1.jpg, MA018EGRTQ10_4587751_6_v1.jpg";"Хлопок - 100%";;Тунис;S;;;;;мульти;мультиколор;цветочный;"на молнии";;;;;;;;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы Pepe Jeans";209.00;dzhinsy-boy-pepe-jeans;1;;"Patrizia Pepe ";;;;;"Джинсы Pepe Jeans";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;PE299EBPVM31_4321521_1_v2.jpg;"Хлопок - 99%. Эластан - 1%";;Тунис;XS;;;;;мульти;синий;"рисунки и надписи";"на молнии";;;;;"62 см";"79 см";;;;;
"Детям/Девочкам/Джинсы ";"Джинсы Pepe Jeans";199.00;dzhinsy-pepe-jeans;1;;"Patrizia Pepe ";;;;;"Джинсы Pepe Jeans";"Джинсы Pepe Jeans, Patrizia Pepe, Джинсы ";;;;"PE299EGPYT05_4403163_1_v1.jpg, PE299EGPYT05_4403164_2_v1.jpg, PE299EGPYT05_4403165_3_v1.jpg";"Хлопок - 100%";;Тунис;M;;;;;мульти;голубой;однотонный;"на молнии";;;;;"65 см";"90 см";;;;;
Детям/Мальчикам/Шорты;"Шорты - SORRENTO Mango Kids";49.00;shorty---sorrento-mango-kids;1;;Mango;;;;;"Шорты - SORRENTO Mango Kids";"Джеггинсы - DOMFYG Mango Kids, Mango, Джинсы ";;;;MA018EBSNV36_4740749_1_v1.jpg;"Хлопок - 100%";;Бангладеш;XS;;;;;лето;белый;полоска;"на молнии";;;;;;;;;;;
Детям/Девочкам/Шорты;"Шорты джинсовые - CHIP Mango Kids";34.00;shorty-dzhinsovye---chip-mango-kids;1;;Mango;;;;;"Шорты джинсовые - CHIP Mango Kids";"Джеггинсы - DOMFYG Mango Kids, Mango, Джинсы ";;;;MA018EGRII32_4497251_1_v1.jpg;"Хлопок - 79%. Полиэстер - 16%. Вискоза - 4%. Эластан - 1%";;Бангладеш;S;;;;;мульти;голубой;однотонный;"на молнии";;;;;;;;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы Tommy Hilfiger";49.00;dzhinsy-boy-tommy-hilfiger;1;;"Tommy Hilfiger";;;;;"Джинсы Tommy Hilfiger";"Джинсы Tommy Hilfiger, Tommy Hilfiger, Джинсы ";;;;TO263EBQTV26_4715721_1_v3.jpg;"Хлопок - 79%. Полиэстер - 16%. Вискоза - 4%. Эластан - 1%";;Тунис;S;;;;;мульти;голубой;однотонный;"без застежки";;;;;"58 см";"74 см";;;;;
"Детям/Девочкам/Джинсы ";"Джеггинсы - DOMFYG Mango Kids";49.00;dzhegginsy---domfyg-mango-kids;1;;Mango;;;;;"Джеггинсы - DOMFYG Mango Kids";"Джеггинсы - DOMFYG Mango Kids, Mango, Джинсы ";;;;MA018EGQLV88_4323042_1_v1.jpg;"Хлопок - 79%. Полиэстер - 16%. Вискоза - 4%. Эластан - 1%";;Бангладеш;M;;;;;мульти;голубой;однотонный;"без застежки";;;;;;;;;;;
Детям/Мальчикам/Шорты;"Шорты Sela";16.70;shorty-boy-sela;1;;SELA;;23.99;;;"Шорты Sela";"Джинсы - SUIZO Mango Kids, Mango, Джинсы ";;;;SE001EBOTF86_4230261_1_v1.jpg;"Хлопок - 60%. Полиэстер - 40%";;Китай;S;;;;;мульти;серый;однотонный;"без застежки";;;;;"32 см";"54 см";;;;;
Детям/Девочкам/Шорты;"Шорты SUIZO Mango Kids";69.00;shorty-suizo-mango-kids;1;;Mango;;;;;"Шорты SUIZO Mango Kids";"Джинсы - SUIZO Mango Kids, Mango, Джинсы ";;;;SE001EGQNX78_4600118_1_v1.jpg;"Хлопок - 100%";;Пакистан;M;;;;;мульти;розовый;однотонный;"на молнии";;;;;"4 см";"17 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы - JACOB Mango Kids";56.00;dzhinsy-boy-jacob-mango-kids;1;;Mango;;;;;"Джинсы - JACOB Mango Kids";"Джинсы - JACOB Mango Kids, Mango, Джинсы ";;;;MA018EBPHQ00_4264210_1_v1.jpg;"Хлопок - 98%. Эластан - 2%";;Бангладеш;XS;;;;;мульти;синий;однотонный;"на молнии";;;;;;;;;;;
"Детям/Девочкам/Джинсы ";"Джинсы - SUIZO Mango Kids";69.00;dzhinsy---suizo-mango-kids;1;;Mango;;;;;"Джинсы - SUIZO Mango Kids";"Джинсы - SUIZO Mango Kids, Mango, Джинсы ";;;;"MA018EGPOM35_4264278_1_v1.jpg, MA018EGPOM35_4264280_6_v1.jpg";"Хлопок - 98%. Эластан - 2%";;Пакистан;S;;;;;мульти;белый;однотонный;"на молнии";;;;;;;;;;;
Детям/Мальчикам/Шорты;"Шорты - FEDERICH Mango Kids";36.00;shorty---federich-mango-kids;1;;Mango;;;;;"Шорты - FEDERICH Mango Kids";"Джинсы Tommy Hilfiger, Tommy Hilfiger, Джинсы ";;;;MA018EKRTQ23_4587791_1_v1.jpg;"Хлопок - 100%";;Индия;XS;;;"64 см";;мульти;белый;другое;"без застежки";бант;;;;;;;;;;
Детям/Девочкам/Шорты;"Шорты Sela";43.00;shorty-sela-kids-s;1;;SELA;;;;;"Шорты Sela";"Джинсы Tommy Hilfiger, Tommy Hilfiger, Джинсы ";;;;SE001EGQNX91_4765984_1_v3.jpg;"Хлопок - 87%. Полиэстер - 12%. Эластан - 1%";;Македония;M;;;"64 см";;мульти;бирюзовый;однотонный;"на молнии";вышивка;;;;"7 см";"24 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы Sela";56.99;dzhinsy-sela-boy-blue;1;;SELA;;66.99;;;"Джинсы Sela";"Джинсы Sela, SELA, Джинсы ";;;;SE001EBOTF37_4228545_1_v1.jpg;"Хлопок - 87%. Полиэстер - 12%. Эластан - 1%";;Китай;M;;;"64 см";;мульти;синий;однотонный;"на молнии";вышивка;;;;"50 см";"70 см";;;;;
"Детям/Девочкам/Джинсы ";"Джинсы Tommy Hilfiger";398.00;dzhinsy-tommy-hilfiger-kids;1;;"Tommy Hilfiger";;;;;"Джинсы Tommy Hilfiger";"Джинсы Tommy Hilfiger, Tommy Hilfiger, Джинсы ";;;;"TO263EGQTV58_4344341_1_v1.jpg, TO263EGQTV58_4344342_2_v1.jpg, TO263EGQTV58_4344343_3_v1.jpg";"Хлопок - 87%. Полиэстер - 12%. Эластан - 1%";;Македония;S;;;"64 см";;мульти;синий;"рисунки и надписи";"на молнии";вышивка;;;;"64 см";"83 см";;;;;
Детям/Мальчикам/Шорты;"Шорты спортивные - COMFYB Mango Kids";60.00;shorty-sportivnye---comfyb-mango-kids;1;;Mango;;;;;"Шорты спортивные - COMFYB Mango Kids";"Джинсы Sela, SELA, Джинсы ";;;;MA018EBPGL79_4264187_1_v1.jpg;"Хлопок - 79%. Полиэстер - 16%. Вискоза - 4%. Эластан - 1%";;Бангладеш;S;;;"55 см";;лето;голубой;однотонный;"без застежки";плиссе/складки;;;;;;;;;;
Детям/Девочкам/Шорты;"Шорты Sela";60.00;shorty-sela-kids;1;;SELA;;;;;"Шорты Sela";"Джинсы Sela, SELA, Джинсы ";;;;SE001EGQNX81_4681534_1_v2.jpg;"Хлопок - 98%. Эластан - 2%";;Китай;M;;;"55 см";;мульти;бирюзовый;цветочный;"на молнии";"кружевной кант/отделка";;;;"4 см";"23 см";;;;;
"Детям/Мальчикам/Джинсы ";"Джинсы Sela ";54.40;dzhinsy-sela-boy;1;;SELA;;64.00;;;"Джинсы Sela ";"Джинсы Sela , SELA, Джинсы ";;;;SE001EBOTF40_4496246_1_v2.jpg;"Хлопок - 98%. Эластан - 2%";;Китай;M;;;;;мульти;синий;однотонный;"на молнии";"винтаж. контрастная отстрочка";;;;"48 см";"67 см";;;;;
"Детям/Девочкам/Джинсы ";"Джинсы Sela";60.00;dzhinsy-sela-kids;1;;SELA;;;;;"Джинсы Sela";"Джинсы Sela, SELA, Джинсы ";;;;"SE001EGOTF32_4257607_1_v1.jpg, SE001EGOTF32_4257608_2_v1.jpg";"Хлопок - 98%. Эластан - 2%";;Китай;S;;;"55 см";;мульти;синий;однотонный;"на молнии";"винтаж. контрастная отстрочка";;;;"55 см";"71 см";;;;;
