Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Состав ";"Материал подкладки";"Страна производства ";"Доступные размеры";"Параметры модели";"Рост модели на фото ";Длина;"Длина рукава";Сезон;Цвет;Узор;Застежка;"Детали одежды";Технологии;"Вид спорта";Высота;"Длина по внутреннему шву";"Длина по боковому шву";"Обхват по талии";"Обхват по бедрам";"Ширина по низу";Посадка;Талия
"Мужчинам/Футболки и поло /Поло ";"Поло Fred Perry ";244.00;polo-fred-perry-man-pl;1;;"Fred Perry";;;;;"Поло Fred Perry ";"Футболка Gerry Gregory, Gregory, C коротким рукавом";"Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.";"<p>Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.</p>";"<p>Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.</p>";"FR006EMOOI41_4619607_1_v2.jpg, FR006EMOOI41_4634849_6_v1.jpg, FR006EMOOI41_4634850_7_v1.jpg, FR006EMOOI41_4634851_8_v1.jpg";"Хлопок - 100%";;Китай;S;103-83-96;186;"70 см";"21 см";мульти;синий;полоска;"на пуговицах";;;;;;;;;;;
"Мужчинам/Футболки и поло /C коротким рукавом ";"Футболка Gerry Diesel";194.00;futbolka-gerry-diesel;1;;Gregory;;;;;"Футболка Gerry Diesel";"Футболка Gerry Gregory, Gregory, C коротким рукавом";"Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.";"<p>Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.</p>";"<p>Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.</p>";"DI303EMRXX58_4620953_1_v2.jpg, DI303EMRXX58_4634616_6_v1.jpg, DI303EMRXX58_4634617_7_v1.jpg, DI303EMRXX58_4634618_8_v1.jpg";"Хлопок - 100%";;Китай;S;103-83-96;186;"70 см";"21 см";мульти;серый;"животные. рисунки и надписи";"без застежки";бисер/бусины;;;;;;;;;;
"Женщинам/Футболки и поло/C коротким рукавом";"Футболка Gerry Gregory";194.00;futbolka-gerry-gregory;1;;Gregory;;;;;"Футболка Gerry Gregory";"Футболка Gerry Gregory, Gregory, C коротким рукавом";"Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.";"<p>Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.</p>";"<p>Футболка прямого кроя. Модель выполнена из легкого текстиля. Детали: застежка на пуговицу, вырез-капелька, короткие рукава.</p>";"GE002EWORS90_4710938_1_v2.jpg, GE002EWORS90_4716684_6_v2.jpg, GE002EWORS90_4716685_7_v2.jpg, GE002EWORS90_4716686_8_v2.jpg";"Вискоза - 100%";;Албания;S;82-59-89;176;"63 см";"20 см";мульти;мультиколор;полоска;"на пуговицах";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье W NSW DRSS FT Nike";124.00;plate-w-nsw-drss-ft-nike;1;;Nike;;;;;"Платье W NSW DRSS FT Nike";"Платье W NSW DRSS FT Nike, Nike, Повседневные";"Платье Nike Sportswear из мягкого трикотажа создает образ в стиле ретро. Детали: прямой крой, круглый вырез, махровая внутренняя отделка, боковые карманы.";"<p><span>Платье Nike Sportswear из мягкого трикотажа создает образ в стиле ретро. Детали: прямой крой, круглый вырез, махровая внутренняя отделка, боковые карманы.</span></p>";"<p><span>Платье Nike Sportswear из мягкого трикотажа создает образ в стиле ретро. Детали: прямой крой, круглый вырез, махровая внутренняя отделка, боковые карманы.</span></p>";"NI464EWRZB31_4799916_1_v1.jpg, NI464EWRZB31_4799917_6_v1.jpg, NI464EWRZB31_4799918_7_v1.jpg, NI464EWRZB31_4799919_8_v1.jpg";"Хлопок - 80%. Полиэстер - 20%";;Пакистан;S;83-60-89;177;"85 см";;мульти;голубой;однотонный;"без застежки";"карманы 2";;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье W NSW MODERN DRSS Nike";159.00;plate-w-nsw-modern-drss-nike;1;;Nike;;;;;"Платье W NSW MODERN DRSS Nike";"Платье W NSW MODERN DRSS Nike, Nike, Повседневные";;;;"NI464EWRZB35_4799924_1_v1.jpg, NI464EWRZB35_4799925_6_v1.jpg, NI464EWRZB35_4799926_7_v1.jpg, NI464EWRZB35_4799927_8_v1.jpg";"Хлопок - 52%. Полиэстер - 29%. Вискоза - 19%";;Малайзия;S;83-60-89;177;"92 см";"22 см";мульти;коралловый;однотонный;"без застежки";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Inc Joop!";84.00;plate-inc-joop;1;;Joop!;;;;;"Платье Inc Joop!";"Платье Inc Joop!, Joop!, Повседневные";;;;"IN002EWTJP56_4799595_1_v1.jpg, IN002EWTJP56_4799596_6_v1.jpg, IN002EWTJP56_4799597_7_v1.jpg, IN002EWTJP56_4799598_8_v1.jpg";"Хлопок - 55%. Полиэстер - 45%";;Китай;S;83-61-91;177;"91 см";"62 см";мульти;синий;полоска;"на пуговицах";"кружевной кант/отделка";;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Sela";94.00;plate-sela;1;;SELA;;;;;"Платье Sela";"Платье Sela, SELA, Повседневные";;;;SE001EWQXJ25_4800694_1_v1.jpg;"Полиэстер - 100%";;Китай;S;83-60-89;180;"83 см";;лето;розовый;однотонный;"на пуговицах";"вырезы. рюши/воланы";;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Love Republic";129.00;plate-povsednevnoe-love-republic;1;;"Love Republic ";;;;;"Платье Love Republic";"Платье Love Republic, Love Republic, Повседневные";;;;"LO022EWSAZ32_4803338_1_v2.jpg, LO022EWSAZ32_4804022_6_v1.jpg, LO022EWSAZ32_4804023_7_v1.jpg, LO022EWSAZ32_4804024_8_v1.jpg";"Полиэстер - 100%";;Китай;S;86-60-88;176;"87 см";;лето;бежевый;однотонный;"на молнии";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Pinko";98.00;plate-povsednevnoe-pinko;1;;;;;;;"Платье Pinko";"Платье Pinko, Повседневные";;;;"ZA004EWSAO16_4803609_1_v2 (1).jpg, ZA004EWSAO16_4804787_6_v1.jpg, ZA004EWSAO16_4804788_7_v1.jpg, ZA004EWSAO16_4804789_8_v1.jpg";"Хлопок - 98%. Эластан - 2%";;Китай;S;82-59-89;176;"83 см";;лето;"животные. рисунки и надписи";;"на молнии";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье L&L Only";134.00;plate-ll-only;1;;Only;;;;;"Платье L&L Only";"Платье L&L Only, Only, Повседневные";;;;"LO790EWSGF81_4803361_1_v2.jpg, LO790EWSGF81_4804092_6_v1.jpg, LO790EWSGF81_4804093_7_v1.jpg, LO790EWSGF81_4804094_8_v1.jpg";"Хлопок - 95%. Лайкра - 5%";;Россия;S;86-60-88;176;"110 см";"13 см";лето;розовый;однотонный;"без застежки";"меланж. карманы 2";;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Incity BCB Generation";252.00;plate-incity-bcb-generation;1;;"BCB Generation ";;;;;"Платье Incity BCB Generation";"Платье Incity Ellesse, Ellesse, Повседневные";;;;"IN002EWTJP58_4803312_1_v2 (1).jpg, IN002EWTJP58_4803312_1_v2.jpg, IN002EWTJP58_4803925_7_v1 (1).jpg, IN002EWTJP58_4803925_7_v1.jpg";"Полиэстер - 100%";;Китай;S;83-61-91;180;"95 см";;лето;голубой;"другое. рисунки и надписи";"на пуговицах";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Chi Chi London";139.00;plate-povsednevnoe-chi-london;1;;"Chi Chi London";;;;;"Платье Chi Chi London";"Платье Chi Chi London, Chi Chi London, Повседневные";;;;"VI049EWTKH62_4803552_1_v2.jpg, VI049EWTKH62_4804700_6_v1.jpg, VI049EWTKH62_4804701_7_v1.jpg, VI049EWTKH62_4804702_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Россия;S;83-61-91;180;"100 см";;лето;синий;горох;"на молнии";"Карманы 2. пояс/ремень";;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Chi Chi London";139.00;plate-povsednevnoe-chi-chi-london;1;;"Chi Chi London";;;;;"Платье Chi Chi London";"Платье Chi Chi London, Chi Chi London, Повседневные";;;;"VI049EWTKH55_4803542_1_v2.jpg, VI049EWTKH55_4804682_6_v1.jpg, VI049EWTKH55_4804683_7_v1.jpg, VI049EWTKH55_4804684_8_v1.jpg";"Хлопок - 97%. Эластан - 3%";;Россия;S;83-61-91;180;"99 см";"9 см";лето;розовый;цветочный;"на молнии";"Карманы 2";;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Sela";88.00;plate-povsednevnoe-blue-sela;1;;SELA;;;;;"Платье Sela";"Платье Sela, SELA, Повседневные";;;;"SE001EWQXJ17_4803390_1_v2.jpg, SE001EWQXJ17_4804255_6_v1.jpg, SE001EWQXJ17_4804256_7_v1.jpg, SE001EWQXJ17_4804257_8_v1.jpg";"Полиэстер - 100%";"Полиэстер - 100%";Китай;S;82-59-89;176;"135 см";;лето;красный;однотонный;"на крючках";;;;;;;;;;;
Женщинам/Платья/Повседневные;"Платье Sela";124.00;plate-povsednevnoe-sela;1;;SELA;;;;;"Платье Sela";"Платье Sela, SELA, Повседневные";;;;"SE001EWQXJ20_4803391_1_v2.jpg, SE001EWQXJ20_4804258_6_v1.jpg, SE001EWQXJ20_4804259_7_v1.jpg, SE001EWQXJ20_4804260_8_v1.jpg";"Полиэстер - 100%";"Полиэстер - 100%";Китай;S;82-59-89;176;"135 см";;лето;красный;однотонный;"на крючках";;;;;;;;;;;
